,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
72,"924 Lafayette Ave Apt 2Brooklyn, NY 11221",Condo ,1175000.0,2,2.0,1115.0, Serhant,Brooklyn,11221.0,Williamsburg,-73.935444,40.6915139
73,"16-33 166th StWhitestone, NY 11357",Multi-family home ,2880000.0,9,2.5,2350.0, E Realty International Corp,Queens,11357.0,North Queens,-73.7967588,40.7832094
74,"425 Father Capodanno BlvdStaten Island, NY 10305",Multi-family home ,798000.0,3,4.0,2150.0, Momentum Real Estate LLC,Staten Island,10305.0,Stapleton,-74.0701056,40.5874844
75,"519 Fairview AveRidgewood, NY 11385",Land ,1685000.0,3,2.5,2184.207862," Apaus, Inc",Queens,11385.0,West Central Queens,-73.9081614,40.7083434
76,"111 W 57th St # 50New York, NY 10019",Condo ,31000000.0,3,4.0,4492.0, Corcoran,Manhattan,10019.0,Chelsea,-73.977568,40.764953
77,"234 Ocean View AveBrooklyn, NY 11235",Land ,2550000.0,3,2.5,2184.207862," Dom Realty, Inc",Brooklyn,11235.0,South Brooklyn,-73.9655666,40.5785288
78,"3652 DE Reimer AveBronx, NY 10466",Land ,119000.0,3,2.5,2184.207862, Meyers Enterprise Realty Group,Bronx,10466.0,Northeast Bronx,-73.8388387,40.8841699
79,"24149 148th DrRosedale, NY 11422",Foreclosure,269000.0,5,2.0,2184.207862, Gosen Properties Inc,Queens,11422.0,Southwest Queens,-73.741373,40.6534433
80,"200 E 94th St Apt 414New York, NY 10128",Condo ,1650000.0,2,2.0,1065.0, Douglas Elliman ,Manhattan,10128.0,Upper East Side,-73.9499982,40.7833546
82,"214 W 11th StManhattan, NY 10014",Townhouse ,12950000.0,5,4.0,3344.0, COMPASS,Manhattan,10014.0,Soho,-74.0018035,40.7363219
83,"250 E 21st St Unit 12BManhattan, NY 10010",Condo ,5750000.0,3,2.0,2223.0, Brown Harris Stevens ,Manhattan,10010.0,Gramercy Park,-73.9822819,40.736608
84,"130-24 150th StJamaica, NY 11436",Multi-family home ,250000.0,5,2.0,2184.207862, Sowae Corp,Queens,11436.0,Jamaica,-73.789339,40.66911
85,"254-06 Craft Ave Unit 2Jamaica, NY 11422",Pending,950000.0,6,2.5,3384.0, Charles Rutenberg Realty Inc,Queens,11422.0,Southwest Queens,-73.7354706,40.6499031
86,"192 Colfax AveStaten Island, NY 10306",House ,585000.0,3,2.0,1100.0, Keller Williams Realty Empire,Staten Island,10306.0,South Shore,-74.105437,40.5784263
